Date,ON,1W,2W,3W,1M,2M,3M,6M
15-Nov-13,3.88,4.1,4.4,4.72,5.12,5.34,5.6,6.26
18-Nov-13,3.76,4.1,4.36,4.78,5.12,5.34,5.6,6.26
19-Nov-13,3.6,3.84,4.32,4.74,5.12,5.34,5.6,6.26
20-Nov-13,3.34,3.74,4.08,4.44,5.12,5.34,5.6,6.26
21-Nov-13,3.34,3.74,4.08,4.44,5.12,5.34,5.6,6.26
22-Nov-13,3.34,3.74,4.08,4.44,5.12,5.34,5.6,6.26
25-Nov-13,3.8,3.96,4.3,4.6,5.12,5.34,5.6,6.26
26-Nov-13,3.8,3.96,4.3,4.6,5.12,5.34,5.6,6.26
27-Nov-13,3.42,3.7,4.3,4.6,5.12,5.34,5.6,6.26
28-Nov-13,3.08,3.62,4.26,4.6,5.12,5.34,5.6,6.26
29-Nov-13,2.34,3.16,4.26,4.6,5.12,5.34,5.6,6.26
2-Dec-13,3.46,3.74,4.26,4.6,5.12,5.34,5.6,6.26
3-Dec-13,3.12,3.6,4.26,4.6,5.12,5.34,5.6,6.26
4-Dec-13,2.64,3.22,4.26,4.6,5.12,5.34,5.6,6.26
5-Dec-13,2.4,2.98,3.98,4.6,5.12,5.34,5.6,6.26
6-Dec-13,2.28,2.7,3.62,4.6,5.12,5.34,5.6,6.26
9-Dec-13,2.16,2.54,3.38,4.36,4.96,5.34,5.6,6.26
10-Dec-13,2.16,2.46,3.38,4.36,4.96,5.34,5.6,6.26
11-Dec-13,2.58,2.88,3.36,4.14,4.74,5.14,5.4,6.2
12-Dec-13,2.58,2.88,3.36,4.14,4.74,5.14,5.4,6.2
13-Dec-13,2.46,2.82,3.36,4.14,4.74,5.14,5.4,6.2
16-Dec-13,2.34,2.7,3.26,3.86,4.52,4.94,5.32,6.04
17-Dec-13,2.38,2.62,3.26,3.86,4.52,4.94,5.32,6.04
18-Dec-13,2.38,2.62,3.26,3.86,4.52,4.94,5.32,6.04
19-Dec-13,2.38,2.62,3.26,3.86,4.52,4.94,5.32,6.04
20-Dec-13,2.38,2.62,3.26,3.86,4.52,4.94,5.32,6.04
23-Dec-13,3.34,3.56,3.92,4.14,4.52,4.94,5.32,6.04
24-Dec-13,4.26,4.56,5,5,5,5.32,5.4,6.04
25-Dec-13,4.02,4.36,4.64,4.82,4.84,5.02,5.32,6.04
26-Dec-13,4.4,4.78,5.02,5.28,5.4,5.42,5.46,6.04
27-Dec-13,3.76,4.26,4.46,4.46,4.5,5.26,5.38,5.9
30-Dec-13,3.76,4.26,4.46,4.46,4.5,5.26,5.38,5.9
31-Dec-13,3.76,4.26,4.46,4.46,4.5,5.26,5.38,5.9
2-Jan-14,3.76,4.26,4.46,4.46,4.5,5.26,5.38,5.9
3-Jan-14,3.56,3.86,4.38,4.46,4.5,5.26,5.38,5.9
6-Jan-14,3.56,4.06,4.38,4.46,4.5,5.26,5.38,5.9
