"date" "neer" "usd" "cny" "eur" "jpy"
2004-08-24 100 15770 8.2765 1.20825 109.62
2004-08-25 100.129284135872 15770 8.2766 1.2082 110.18
2004-08-26 99.9121526762498 15780 8.2767 1.21015 109.68
2004-08-30 100.072167306901 15767 8.2769 1.20485 109.87
2004-08-31 99.8112126554237 15760 8.2765 1.21835 109.18
2004-09-01 99.7371738718431 15767.5 8.2767 1.21885 109.52
2004-09-02 99.7550516786332 15767.5 8.2767 1.21745 109.485
2004-09-06 99.9472149872928 15775 8.2765 1.2065 110.14
2004-09-07 99.7624515534407 15773.5 8.2766 1.211 109.36
2004-09-08 99.6665026576505 15766 8.2765 1.21835 109.34
2004-09-09 99.7289029252451 15758 8.2768 1.22135 109.68
2004-09-13 99.7126950307815 15756.5 8.2766 1.22635 110.035
2004-09-14 99.6195438203913 15748.5 8.2767 1.2254 109.635
2004-09-15 99.7898393949763 15750 8.2768 1.2151 110.02
2004-09-16 99.6202055756228 15750 8.2766 1.21825 109.585
2004-09-20 99.7583640062017 15750 8.2765 1.21765 109.885
2004-09-21 99.6169969427717 15735 8.2765 1.23365 109.65
2004-09-22 99.7873291402685 15750 8.2765 1.22675 110.605
2004-09-23 99.8578965389722 15745 8.2765 1.2271 110.79
2004-09-27 99.9454342060955 15749 8.2765 1.22935 111.29
2004-09-28 99.9696706132383 15759 8.2766 1.23275 111.375
2004-09-29 99.9016757284648 15745 8.2765 1.23335 110.875
2004-09-30 99.5489149741854 15745 8.2765 1.2435 110.045
2004-10-04 99.7604954649632 15760 8.2765 1.22865 110.975
2004-10-05 99.7552640391418 15760 8.2765 1.2311 111.145
2004-10-06 99.893819553298 15761 8.2765 1.2288 111.34
2004-10-07 99.8292675990047 15761 8.2765 1.2284 111.23
2004-10-11 99.2963976325461 15757 8.2765 1.23885 109.37
2004-10-12 99.4195317851642 15767 8.2765 1.23285 109.69
2004-10-13 99.535989522208 15750 8.2766 1.23475 109.755
2004-10-14 99.3662138149531 15760 8.2765 1.23865 109.665
2004-10-18 99.105575911463 15761 8.2765 1.2494 109.255
2004-10-19 98.9446810342254 15750 8.2764 1.2513 108.375
2004-10-20 98.8258438314936 15750 8.2764 1.25905 108.24
2004-10-21 98.6633401865578 15751 8.2764 1.26175 107.525
2004-10-25 98.1067608839065 15755 8.2768 1.2807 106.75
2004-10-26 98.1217376151383 15755 8.2765 1.2769 106.73
2004-10-27 98.0836736279865 15755 8.2765 1.27125 106.44
2004-10-28 97.9882582276673 15750 8.2764 1.2744 106.29
2004-11-01 97.9717231899592 15755 8.2765 1.27525 106.455
2004-11-02 97.8850955491991 15748 8.2764 1.2743 106.04
2004-11-03 97.8489690709865 15745 8.2765 1.282 106.235
2004-11-04 97.5540797791634 15751 8.2765 1.2872 106.035
2004-11-08 97.2348188639661 15741 8.2765 1.29205 105.475
2004-11-09 97.238799621078 15750 8.2764 1.28995 105.67
2004-11-10 97.7283080292716 15746 8.2765 1.28895 107.135
2004-11-11 97.484607791005 15750 8.2765 1.2907 106.615
2004-11-15 96.9461628444998 15755 8.2765 1.2949 105.27
2004-11-16 96.8852279325563 15755 8.2765 1.29565 105.345
2004-11-17 96.3463338276867 15760 8.2765 1.30325 104.03
2004-11-18 96.3704381637283 15767 8.2765 1.29595 104.18
2004-11-22 95.9183344380099 15768 8.2765 1.30485 103.145
2004-11-23 95.8483988555337 15776 8.2764 1.30875 103.315
2004-11-24 95.5868271335608 15779 8.2765 1.31855 102.795
2004-11-25 95.2979587048556 15777.5 8.2764 1.32675 102.46
2004-11-29 95.1778166896173 15785 8.2765 1.32785 102.855
2004-11-30 95.3066230566656 15773 8.2765 1.3279 103.06
2004-12-01 95.0887862051283 15771 8.2763 1.33455 102.595
2004-12-02 95.2336317732836 15781 8.2764 1.3269 103.23
2004-12-06 95.0140080980718 15780 8.2765 1.34075 103.185
2004-12-07 94.9969227899754 15775 8.2765 1.34185 102.97
2004-12-08 95.5708822743374 15775 8.2764 1.33375 103.98
2004-12-09 95.7321093042582 15772 8.2764 1.3311 104.68
2004-12-13 95.7482180966209 15776 8.2764 1.3312 104.825
2004-12-14 95.9933811720496 15767 8.2764 1.33 105.54
2004-12-15 95.5602577954337 15771 8.2765 1.3392 104.26
2004-12-16 95.736518487708 15781 8.2765 1.3243 104.79
2004-12-20 95.471425813271 15770 8.2764 1.33955 104.11
2004-12-21 95.4424514234269 15783 8.2765 1.33715 104.355
2004-12-22 95.4099232160914 15774 8.2764 1.33895 104.235
2004-12-23 95.1159452720001 15775 8.2764 1.3515 103.585
2004-12-27 94.8023327840703 15780 8.2765 1.3617 103.06
2004-12-28 94.738074140264 15782 8.2763 1.3613 103.065
2004-12-29 94.8787816261138 15784 8.2764 1.36065 103.86
2004-12-30 94.6828645161644 15783 8.2764 1.36365 103.075
2005-01-03 94.7644623536385 15777 8.2765 1.3465 102.79
2005-01-04 95.3305377778332 15776 8.2765 1.3279 104.57
2005-01-05 95.2866143854894 15788 8.2764 1.3262 104.14
2005-01-06 95.7142320615283 15785 8.2765 1.3172 105.01
2005-01-10 95.7129377560958 15775 8.2764 1.3074 104.335
2005-01-11 95.3582416017326 15775 8.2765 1.3107 103.32
2005-01-12 94.9454746268844 15771 8.2765 1.32555 102.44
2005-01-13 94.8048359464306 15777 8.2764 1.32245 102.385
2005-01-17 94.8786093424285 15784 8.2764 1.30665 102.125
2005-01-18 94.975504375471 15785 8.2763 1.30195 102.265
2005-01-19 94.9730377523908 15785 8.2764 1.30105 102.77
2005-01-20 95.2106954860614 15785 8.2765 1.29625 103.42
2005-01-24 94.8827397908063 15790 8.2764 1.30605 102.64
2005-01-25 95.2973998299595 15786 8.2765 1.29745 104.07
2005-01-26 94.9918953788473 15786 8.2765 1.30735 103.075
2005-01-27 94.8559001441923 15796 8.2765 1.3044 102.72
2005-01-31 95.0784763984909 15785 8.2764 1.30385 103.695
2005-02-01 95.0130912083843 15804 8.2765 1.30465 103.68
2005-02-02 94.9464264053483 15802 8.2765 1.30275 103.59
2005-02-03 95.1479037523283 15795 8.2765 1.29755 104.475
2005-02-07 95.4854157125339 15791 8.2764 1.27565 104.845
2005-02-08 95.6940287172449 15796 8.2765 1.27615 105.845
2005-02-09 95.6658335570992 15801 8.2765 1.28055 105.61
2005-02-10 95.702531370346 15800 8.2765 1.28735 105.84
2005-02-14 95.1385753650565 15805 8.2765 1.2976 105.095
2005-02-15 95.0424156731666 15791 8.2765 1.30265 104.415
2005-02-16 95.241390786504 15801 8.2765 1.303 105.425
2005-02-17 95.266384661849 15786 8.2765 1.30705 105.545
2005-02-21 95.1395912770345 15795 8.2764 1.3068 105.575
2005-02-22 94.3531876241299 15797 8.2765 1.326 104.035
2005-02-23 94.5378976338944 15800 8.2765 1.32165 104.835
2005-02-24 94.6768314213393 15803 8.2765 1.31975 105.385
2005-02-28 94.369429535299 15803 8.2765 1.32275 104.625
2005-03-01 94.3299642853009 15805 8.2764 1.31875 104.385
2005-03-02 94.5033002215835 15802 8.2765 1.31415 104.75
2005-03-03 94.5535337133992 15813 8.2765 1.31095 105.285
2005-03-07 94.4146307562003 15807.5 8.2765 1.3214 105.18
2005-03-08 94.1930572985689 15804.5 8.2765 1.33435 104.675
2005-03-09 93.9375605336458 15811 8.2765 1.33925 103.955
2005-03-10 93.9691321458487 15803.5 8.2765 1.34185 104.135
2005-03-14 94.2090350550038 15796 8.2765 1.33695 104.835
2005-03-15 94.330447013583 15800 8.2765 1.3305 104.56
2005-03-16 94.10321282192 15804 8.2764 1.34155 104.155
2005-03-17 94.2395494307071 15802 8.2765 1.33775 104.53
2005-03-21 94.6180315690362 15815 8.2765 1.31575 105.195
2005-03-22 94.8627698357564 15822 8.2765 1.3086 105.615
2005-03-23 95.0063748875958 15827 8.2765 1.2987 105.955
2005-03-24 95.2364654984601 15823 8.2765 1.2939 106.33
2005-03-28 95.6668574062353 15814 8.2764 1.2896 107.21
2005-03-29 95.7375476072889 15824 8.2766 1.2928 107.565
2005-03-30 95.712685097044 15827 8.2765 1.2918 107.525
2005-03-31 95.4799247459283 15819 8.2764 1.2963 107.23
2005-04-04 95.9023890594766 15821.5 8.2766 1.28475 108.29
2005-04-05 95.8054602096586 15826 8.2765 1.28685 108.165
2005-04-06 95.8026089197971 15837 8.2764 1.2871 108.68
2005-04-07 95.8488381306957 15829 8.2764 1.28565 108.625
2005-04-11 95.6032340856398 15820 8.2765 1.2972 107.865
2005-04-12 95.6408526517457 15822.5 8.2765 1.29205 107.755
2005-04-13 95.5277768184199 15814 8.2765 1.2915 107.345
2005-04-14 95.872247701308 15827 8.2764 1.2812 108.18
2005-04-18 95.5821198342192 15824 8.2764 1.30235 107.49
2005-04-19 95.2494656784117 15830 8.2764 1.3061 106.725
2005-04-20 95.1095732981059 15835 8.2765 1.30865 106.86
2005-04-21 95.2695485249468 15832 8.2764 1.30485 106.945
2005-04-25 94.9998079165355 15823 8.2765 1.30055 105.67
2005-04-26 95.0847424812774 15827 8.2763 1.29855 106.02
2005-04-27 95.081814233367 15839 8.2764 1.2931 105.87
2005-04-28 95.1414171596619 15842 8.2765 1.28935 106.13
2005-05-02 94.9510819761931 15828 8.2765 1.2864 105.045
2005-05-03 94.9845130592065 15828 8.2765 1.28715 105.08
2005-05-04 94.6452189965849 15837 8.2765 1.2946 104.56
2005-05-05 94.6050454248815 15840 8.2765 1.29575 104.46
2005-05-09 95.0337147843897 15842 8.2765 1.28425 105.625
2005-05-10 94.9523920682316 15840 8.2764 1.28795 105.555
2005-05-11 95.0565460043221 15841 8.2765 1.2815 105.755
2005-05-12 95.4744892635287 15832 8.2764 1.26955 106.775
2005-05-16 95.6611851959179 15835 8.2764 1.2643 106.735
2005-05-17 95.7108678948848 15850 8.2765 1.26075 107.53
2005-05-18 95.5329466740525 15835 8.2765 1.26795 106.985
2005-05-19 95.7524546056346 15839 8.2764 1.26435 107.64
2005-05-23 95.842745170956 15840 8.2764 1.2578 107.645
2005-05-24 95.7438543908373 15840 8.2765 1.25845 107.64
2005-05-25 95.7704619114149 15844 8.2765 1.2601 107.72
2005-05-26 95.9451951016524 15850 8.2765 1.25125 107.96
2005-05-30 95.965054297096 15851 8.2763 1.2476 108.005
2005-05-31 96.3046023424846 15860 8.2767 1.2304 108.57
2005-06-01 96.7083014768083 15852 8.2765 1.21785 108.76
2005-06-02 96.4187857621509 15860 8.2764 1.2268 108.29
2005-06-06 96.0714524626819 15851 8.2765 1.22585 106.94
2005-06-07 95.9488689722233 15851.5 8.2764 1.22855 106.605
2005-06-08 96.1359846190615 15856 8.2764 1.22335 107.29
2005-06-09 96.127815907692 15862.5 8.2764 1.22295 107.43
2005-06-13 96.8555143109393 15864.5 8.2764 1.2108 109.565
2005-06-14 96.9028781572242 15867 8.2764 1.2031 109.47
2005-06-15 96.7115909275539 15863 8.2765 1.2115 109.205
2005-06-16 96.684362135737 15871.5 8.2765 1.21 108.96
2005-06-20 96.6422931479566 15870 8.2765 1.21515 109.265
2005-06-21 96.4612743299196 15865 8.2765 1.2183 108.17
2005-06-22 96.6638090713421 15861 8.2765 1.21285 108.865
2005-06-23 96.6977815748792 15870 8.2764 1.2039 108.94
2005-06-27 96.7273900353249 15860.5 8.2765 1.21635 109.26
2005-06-28 97.166343974505 15856 8.2764 1.2053 110.03
2005-06-29 97.2734486482207 15864.5 8.2765 1.2071 110.43
2005-06-30 97.4835546892456 15851 8.2764 1.21075 110.92
2005-07-04 98.0120819070379 15850 8.2764 1.1902 111.63
2005-07-05 98.107621467948 15856 8.2764 1.19115 111.735
2005-07-06 98.2133441438594 15857 8.2765 1.19325 112.18
2005-07-07 98.1790784106921 15861 8.2765 1.1951 112.085
2005-07-11 97.8612368083609 15862.5 8.2765 1.20725 111.815
2005-07-12 97.3522607926089 15863 8.2765 1.22415 110.795
2005-07-13 97.7616448445197 15870 8.2764 1.2093 111.87
2005-07-14 97.7288049158508 15880 8.2765 1.2084 112.36
2005-07-18 97.6298291182884 15880 8.2765 1.20525 111.975
2005-07-19 97.9132457065472 15876.5 8.2765 1.20345 112.69
2005-07-20 97.8612559122397 15880 8.2764 1.21385 112.91
2005-07-21 96.6721777292661 15875 8.11 1.21715 110.27
2005-07-25 96.895885956813 15868.5 8.1097 1.20595 111.475
2005-07-26 97.2399075884432 15872 8.1099 1.20135 112.53
2005-07-27 97.2850903851865 15865 8.1128 1.2068 112.465
2005-07-28 97.1014142160515 15870 8.108 1.21375 112.12
2005-08-01 96.9390911878282 15875 8.1046 1.21785 112.225
2005-08-02 96.6101126924774 15883.5 8.1032 1.2191 111.465
2005-08-03 96.5073664568838 15877 8.1051 1.23365 111.085
2005-08-04 96.2506290677568 15885 8.1027 1.23845 111.235
2005-08-08 96.620253310285 15873 8.109 1.23515 112.18
2005-08-09 96.5262846152315 15867 8.107 1.2371 111.89
2005-08-10 96.2097209118945 15874.5 8.1062 1.23815 110.65
2005-08-11 95.9746794152318 15872 8.1002 1.24695 109.705
2005-08-15 96.1562143983415 15870.5 8.0971 1.23675 109.235
2005-08-16 96.315331637495 15863.5 8.1002 1.2364 109.53
2005-08-17 96.5218974198179 15866 8.0997 1.2271 109.925
2005-08-18 96.7950056270227 15860 8.1007 1.2175 110.53
2005-08-22 96.6405271866222 15863 8.1056 1.2229 109.78
2005-08-23 96.6205838846322 15870.5 8.1012 1.2236 109.88
2005-08-24 96.682178810032 15876.5 8.1005 1.22725 110.215
2005-08-25 96.6227763417764 15873.5 8.1002 1.23005 110.04
2005-08-29 96.8993853135095 15886.5 8.0954 1.22345 110.62
2005-08-30 97.1603680928915 15881 8.0973 1.2219 111.245
2005-08-31 97.0059678035883 15876 8.0998 1.23465 110.61
2005-09-01 96.5595436800316 15879 8.0949 1.25005 109.82
2005-09-05 96.1961002608138 15881 8.0916 1.25405 109.14
2005-09-06 96.4965363411757 15876 8.0913 1.2467 109.665
2005-09-07 96.6447611550204 15875 8.0925 1.24165 110.1
2005-09-08 96.7033076107561 15885 8.0945 1.2398 110.515
2005-09-12 96.7350569671695 15890 8.0924 1.22845 110.365
2005-09-13 96.9121400741807 15877 8.094 1.2267 110.65
2005-09-14 96.7579268269465 15890 8.0912 1.2286 110.385
2005-09-15 96.9181276923509 15885 8.0887 1.22235 110.635
2005-09-19 97.3977048271237 15869 8.0906 1.21405 111.535
2005-09-20 97.4504632137456 15876.5 8.089 1.2115 111.965
2005-09-21 97.1724113695596 15881 8.0912 1.22145 111.305
2005-09-22 97.3848840483029 15870 8.0881 1.21545 111.715
2005-09-26 97.6333432892835 15885 8.0929 1.2072 112.165
2005-09-27 97.9110173161112 15890 8.092 1.20125 113.305
2005-09-28 97.8439940815105 15890 8.0939 1.2036 113.105
2005-09-29 97.7397388340185 15895 8.093 1.2031 113.005
2005-10-03 98.1642643829795 15896 8.092 1.19185 114.14
2005-10-04 98.1394148484718 15897.5 8.092 1.19175 114.255
2005-10-05 97.9992832578886 15891 8.092 1.19735 114.01
2005-10-06 97.5498440040256 15898.5 8.092 1.2179 113.295
2005-10-10 97.7834977325754 15893.5 8.0864 1.20665 114.1
2005-10-11 98.0030650686126 15900 8.0879 1.19925 114.56
2005-10-12 98.0394747043662 15893 8.0895 1.2024 114.385
2005-10-13 98.0671706112925 15903 8.0885 1.2026 114.51
2005-10-17 98.0483177116979 15915 8.0877 1.20245 114.92
2005-10-18 98.3436763475899 15915 8.091 1.19585 115.705
2005-10-19 98.3200105080586 15913 8.0924 1.19925 115.44
2005-10-20 98.3111312548444 15905 8.0905 1.2023 115.325
2005-10-24 98.4014223767514 15904.5 8.0916 1.1986 115.45
2005-10-25 98.0664438751256 15911 8.0901 1.21065 115.03
2005-10-26 98.1578784331635 15916.5 8.0867 1.2068 115.865
2005-10-27 97.9539526705214 15911 8.0862 1.2141 115.445
2005-10-31 98.387855963408 15896 8.0845 1.19915 116.4
2005-11-01 98.3685772398352 15904 8.086 1.202 116.735
2005-11-02 98.3860073872649 15893 8.0851 1.20735 116.875
2005-11-03 98.6138171696255 15897 8.0841 1.1944 117.215
2005-11-07 98.9851315296103 15890 8.0745 1.1804 117.685
2005-11-08 98.9350719371325 15897.5 8.0905 1.1781 117.285
2005-11-09 98.9815752284553 15900.5 8.0895 1.1764 117.535
2005-11-10 99.1195829794675 15899 8.0847 1.1686 118.205
2005-11-14 99.0511613032861 15907.5 8.0835 1.169 118.78
2005-11-15 99.0051744403463 15907.5 8.0855 1.1719 118.92
2005-11-16 99.1237504798223 15914.5 8.0835 1.1669 119.19
2005-11-17 98.9876965939043 15907.5 8.0875 1.1749 118.835
2005-11-21 99.1077060368822 15900 8.0833 1.17265 119.055
2005-11-22 98.9932938228497 15902.5 8.0839 1.18135 118.74
2005-11-23 98.7824687514282 15907.5 8.0786 1.1823 118.725
2005-11-24 98.8215859172049 15914.5 8.0838 1.17885 118.915
