"date","usdvnd","eurusd","usdcny","usdjpy","usdkrw","usdsgd","usdtwd","usdthb","xdrusd"
2010-02-08,18470,1.3657,6.8315,89.275,1171.1,1.4242,32.1,33.2,1.53864
2010-02-09,18470,1.3794,6.8315,89.815,1157.5,1.4164,32.055,33.16,1.540014
2010-02-10,18455,1.3735,6.833,89.965,1158.5,1.4182,32.075,33.18,1.543667
2010-02-11,18455,1.369,6.8375,89.725,1162.5,1.4125,32.045,33.17,1.541666
2010-02-12,18450,1.3636,6.8375,89.925,1159.5,1.4116,32.12,33.26,1.532631
2010-02-15,18705,1.3599,6.8375,90.035,1146.2,1.4125,32.13,33.19,1.532631
2010-02-16,18705,1.3759,6.8375,90.205,1148.35,1.4044,32.035,33.17,1.537797
2010-02-17,18555,1.36,6.8375,91.175,1142.3,1.4074,32.015,33.17,1.540268
2010-02-18,18555,1.3494,6.838,92.015,1149.4,1.4135,32.045,33.2,1.531199
2010-02-19,18605,1.3614,6.834,91.515,1152,1.4124,32.035,33.13,1.524525
2010-02-22,18755,1.3602,6.831,91.205,1146.2,1.4098,32.085,33.15,1.530773
2010-02-23,18635,1.3513,6.8315,90.205,1155.35,1.4102,32.085,33.1,1.529314
2010-02-24,18955,1.3539,6.8315,90.185,1153.2,1.4099,32.085,33.04,1.531361
2010-02-25,18655,1.354,6.8315,89.155,1161.4,1.4087,32.085,33.1,1.529248
2010-02-26,18855,1.3625,6.8305,88.945,1160,1.4068,32.045,33.1,1.532466
2010-03-01,19000,1.3569,6.8305,89.175,1160,1.4055,32.035,32.84,1.527592
2010-03-02,19100,1.3608,6.82655,88.765,1148.5,1.4028,31.995,32.73,1.528606
2010-03-03,19125,1.3695,6.82305,88.505,1148.5,1.3992,31.955,32.67,1.534606
2010-03-04,19110,1.358,6.8305,89.115,1142,1.4011,31.975,32.64,1.537012
2010-03-05,19105,1.3623,6.82655,90.225,1140.5,1.3996,31.875,32.66,1.530658
2010-03-08,19110,1.3628,6.8261,90.285,1132.5,1.3995,31.875,32.7,1.531448
2010-03-09,19100,1.3602,6.831,89.905,1135.4,1.3988,31.8275,32.72,1.527858
2010-03-10,19105,1.3656,6.8305,90.515,1134,1.3983,31.745,32.65,1.52854
2010-03-11,19150,1.3677,6.82655,90.605,1127,1.3973,31.825,32.68,1.530316
2010-03-12,19150,1.3768,6.83,90.595,1131.5,1.3939,31.735,32.55,1.537163
2010-03-15,18685,1.3674,6.82605,90.425,1134.1,1.3973,31.855,32.56,1.53311
2010-03-16,18685,1.3764,6.82655,90.325,1133.7,1.3946,31.775,32.42,1.533818
2010-03-17,18660,1.3737,6.8305,90.385,1128.7,1.3933,31.725,32.31,1.538223
2010-03-18,18690,1.3608,6.831,90.485,1133.4,1.3957,31.74,32.31,1.534237
2010-03-19,19115,1.3533,6.8305,90.505,1134.5,1.3973,31.755,32.39,1.528209
2010-03-22,19125,1.3559,6.8266,90.145,1133.75,1.40105,31.845,32.33,1.524167
2010-03-23,19100,1.3492,6.8315,90.395,1139.5,1.40075,31.835,32.33,1.523731
2010-03-24,19090,1.3329,6.82705,92.125,1138,1.4064,31.82,32.36,1.515659
2010-03-25,19090,1.3272,6.82705,92.715,1142.55,1.4076,31.87,32.39,1.514328
2010-03-26,19090,1.3409,6.827,92.525,1138.7,1.4039,31.881,32.42,1.513677
2010-03-29,19075,1.3476,6.831,92.555,1133.5,1.3994,31.855,32.36,1.518656
2010-03-30,19005,1.3419,6.82555,92.785,1130.3,1.4002,31.75,32.34,1.519427
2010-03-31,19080,1.3507,6.8305,93.455,1131.2,1.399,31.76,32.35,1.518126
2010-04-01,19105,1.3585,6.8305,93.875,1129,1.3977,31.7189,32.34,1.519642
2010-04-02,19105,1.3502,6.82605,94.565,1123.5,1.4002,31.725,32.44,1.516749
2010-04-05,19105,1.3483,6.8256,94.325,1123,1.3969,31.75,32.38,1.51796
2010-04-06,19100,1.3394,6.8305,93.755,1122.5,1.3965,31.595,32.38,1.514695
2010-04-07,19110,1.3339,6.83,93.265,1120.95,1.3958,31.555,32.38,1.512018
2010-04-08,19105,1.3358,6.82455,93.395,1123.2,1.3939,31.57,32.3,1.513318
2010-04-09,19110,1.3499,6.82405,93.195,1118,1.3901,31.565,32.31,1.516491
2010-04-12,19050,1.3587,6.82505,93.215,1114.125,1.3908,31.505,32.37,1.525109
2010-04-13,18985,1.3616,6.83,93.185,1123.2,1.3925,31.505,32.36,1.526054
2010-04-14,18985,1.3651,6.83,93.275,1112.4,1.3736,31.39,32.25,1.525742
2010-04-15,19022.5,1.358,6.8305,93.075,1108.5,1.3741,31.365,32.25,1.523622
2010-04-16,19005,1.3502,6.831,92.175,1108.15,1.3756,31.395,32.18,1.524297
2010-04-19,19000,1.3491,6.82605,92.415,1110.5,1.3777,31.435,32.22,1.52027
2010-04-20,19000,1.3442,6.83,93.225,1118,1.3752,31.435,32.17,1.522895
2010-04-21,18955,1.3388,6.82605,93.135,1107.85,1.3729,31.4,32.2,1.517338
2010-04-22,18955,1.3287,6.831,93.455,1108.4,1.3722,31.45,32.29,1.515533
2010-04-23,18885,1.3383,6.832,93.925,1112,1.3704,31.355,32.29,1.51277
2010-04-26,18955,1.3393,6.8315,94.005,1104.25,1.367,31.355,32.19,1.512841
2010-04-27,18885,1.3161,6.8305,93.115,1110.3,1.3741,31.415,32.27,1.512473
2010-04-28,18945,1.3205,6.8295,94.155,1118.8,1.3727,31.415,32.33,1.506399
2010-04-29,18962.5,1.3244,6.8305,94.105,1115,1.3694,31.325,32.28,1.508239
2010-04-30,18960,1.3291,6.8295,93.835,1108.4,1.3704,31.36,32.36,1.511003
2010-05-03,18880,1.319,6.8295,94.585,1118.5,1.3709,31.45,32.34,1.504334
2010-05-04,18945,1.2973,6.83205,94.675,1115.5,1.3811,31.45,32.34,1.501346
2010-05-05,18955,1.2819,6.831,93.965,1115.45,1.3929,31.595,32.36,1.493485
2010-05-06,18960,1.26315,6.8315,90.865,1138,1.4029,31.785,32.27,1.488235
2010-05-07,18955,1.2759,6.83,91.605,1142.5,1.3958,31.75,32.26,1.488255
2010-05-10,19005,1.2787,6.83,93.355,1151.5,1.3819,31.525,32.28,1.497437
2010-05-11,18975,1.2634,6.8335,92.665,1136.2,1.3822,31.625,32.33,1.484129
2010-05-12,19045,1.2632,6.832,93.275,1144.5,1.3802,31.625,32.28,1.483642
2010-05-13,19020,1.2523,6.82755,92.685,1130,1.3832,31.7,32.36,1.479538
2010-05-14,18990,1.2361,6.831,92.485,1130.4,1.3876,31.735,32.44,1.473236
2010-05-17,19037.5,1.24,6.832,92.565,1152.4,1.3895,31.815,32.4,1.465913
2010-05-18,19025,1.2174,6.832,92.055,1146.4,1.3958,31.92,32.33,1.469154
2010-05-19,19020,1.2423,6.8315,91.795,1157.5,1.3963,32.01,32.38,1.461877
2010-05-20,19017.5,1.2469,6.8325,89.265,1164.1,1.4095,32.2,32.45,1.468716
2010-05-21,18965,1.2585,6.831,89.965,1193.7,1.4032,32.155,32.47,1.478973
2010-05-24,18975,1.2346,6.8335,90.265,1212.9,1.4085,32.1,32.44,1.473501
2010-05-25,18975,1.2372,6.836,90.305,1223.375,1.4118,32.295,32.54,1.467115
2010-05-26,18975,1.2161,6.834,89.975,1253.2,1.4145,32.26,32.54,1.470976
2010-05-27,18975,1.2357,6.834,90.955,1253.5,1.4009,32.035,32.55,1.471201
2010-05-28,18975,1.2271,6.835,91.075,1223.2,1.4076,32.085,32.6,1.47422
2010-05-31,18855,1.231,6.82855,91.175,1202.4,1.40005,32,32.525,1.47422
2010-06-01,18995,1.2211,6.83005,90.985,1195,1.4121,32.26,32.6,1.462878
2010-06-02,18987.5,1.225,6.8325,92.225,1217,1.4049,32.09,32.6,1.46576
2010-06-03,18990,1.2162,6.8345,92.575,1199,1.4073,32.25,32.575,1.465165
2010-06-04,19050,1.1971,6.8286,91.905,1218.5,1.4141,32.3,32.62,1.461753
2010-06-07,19052.5,1.1917,6.8335,91.465,1218.5,1.4179,32.48,32.65,1.454097
2010-06-08,19050,1.1965,6.83005,91.535,1234.1,1.4137,32.34,32.63,1.452161
2010-06-09,19040,1.1985,6.834,91.315,1234.25,1.4148,32.435,32.595,1.454891
2010-06-10,19025,1.2109,6.83005,91.395,1247.55,1.404,32.28,32.465,1.459286
2010-06-11,19025,1.2113,6.8355,91.655,1250.6,1.4028,32.315,32.54,1.462191
2010-06-14,19040,1.2213,6.83005,91.625,1221.2,1.3973,32.25,32.375,1.466969
2010-06-15,19030,1.2324,6.837,91.515,1215,1.3911,32.225,32.415,1.468759
2010-06-16,18965,1.23,6.837,91.395,1213.5,1.3935,32.285,32.38,1.470258
2010-06-17,18990,1.2381,6.837,90.915,1212.5,1.391,32.25,32.395,1.474652
2010-06-18,18905,1.2388,6.8315,90.725,1212.5,1.3851,32.175,32.32,1.475847
2010-06-21,18955,1.2324,6.8015,91.025,1207.5,1.37765,31.8,32.275,1.475575
2010-06-22,18945,1.2269,6.8175,90.505,1183,1.38615,31.93,32.335,1.470493
2010-06-23,18945,1.2312,6.81105,89.945,1183.5,1.388,32.02,32.37,1.473992
2010-06-24,18980,1.2329,6.80005,89.615,1188,1.3929,31.99,32.42,1.477029
2010-06-25,18980,1.2376,6.796,89.205,1187.4,1.38715,32.01,32.435,1.475379
2010-06-28,18955,1.2282,6.801,89.365,1202.3,1.3858,32.405,32.375,1.479487
2010-06-29,19035,1.2189,6.8025,88.555,1217.2,1.4028,32.205,32.415,1.475031
2010-06-30,19005,1.2233,6.7865,88.395,1221.1,1.3994,32.19,32.42,1.478787
2010-07-01,19000,1.2519,6.78135,87.755,1222,1.3934,32.18,32.365,1.481365
2010-07-02,19075,1.2565,6.7711,87.835,1228,1.3941,32.19,32.5,1.491981
2010-07-05,19090,1.2538,6.7805,87.765,1223.5,1.39245,32.245,32.43,1.491981
2010-07-06,19085,1.2626,6.785,87.575,1222.9,1.3855,32.215,32.43,1.494166
2010-07-07,19085,1.2631,6.775,87.755,1221.75,1.3832,32.13,32.47,1.49573
