"date" "usdvnd" "eurusd" "usdcny" "usdjpy" "usdkrw" "usdsgd" "usdtwd" "usdthb"
2004-08-24 15770 1.20825 8.2765 109.62 1154.05 1.7125 34.04 41.445
2004-08-25 15770 1.2082 8.2766 110.18 1156.05 1.71225 34.063 41.585
2004-08-26 15780 1.21015 8.2767 109.68 1153.5 1.71325 33.925 41.665
2004-08-30 15767 1.20485 8.2769 109.87 1152.45 1.71395 33.88 41.655
2004-08-31 15760 1.21835 8.2765 109.18 1151.85 1.7105 33.9 41.625
2004-09-01 15767.5 1.21885 8.2767 109.52 1148.5 1.70645 33.845 41.6
2004-09-02 15767.5 1.21745 8.2767 109.485 1150.5 1.7024 33.925 41.53
2004-09-06 15775 1.2065 8.2765 110.14 1152.85 1.70485 33.78 41.615
2004-09-07 15773.5 1.211 8.2766 109.36 1150.75 1.6989 33.915 41.625
2004-09-08 15766 1.21835 8.2765 109.34 1148.5 1.6974 33.85 41.63
2004-09-09 15758 1.22135 8.2768 109.68 1145.5 1.6995 33.875 41.59
2004-09-13 15756.5 1.22635 8.2766 110.035 1145.05 1.697 33.9 41.52
2004-09-14 15748.5 1.2254 8.2767 109.635 1144.5 1.6905 33.88 41.215
2004-09-15 15750 1.2151 8.2768 110.02 1145.5 1.6918 33.765 41.31
2004-09-16 15750 1.21825 8.2766 109.585 1145.8 1.68845 33.675 41.22
2004-09-20 15750 1.21765 8.2765 109.885 1146.3 1.6894 33.87 41.295
2004-09-21 15735 1.23365 8.2765 109.65 1145.5 1.68915 33.895 41.275
2004-09-22 15750 1.22675 8.2765 110.605 1148.8 1.69465 33.755 41.35
2004-09-23 15745 1.2271 8.2765 110.79 1147.65 1.69435 33.825 41.37
2004-09-27 15749 1.22935 8.2765 111.29 1149.5 1.6925 33.95 41.525
2004-09-28 15759 1.23275 8.2766 111.375 1156 1.6964 34.025 41.625
2004-09-29 15745 1.23335 8.2765 110.875 1153.5 1.69115 34.02 41.525
2004-09-30 15745 1.2435 8.2765 110.045 1151.5 1.6839 33.97 41.4
2004-10-04 15760 1.22865 8.2765 110.975 1149.5 1.6871 33.89 41.38
2004-10-05 15760 1.2311 8.2765 111.145 1148.5 1.68525 33.935 41.415
2004-10-06 15761 1.2288 8.2765 111.34 1152.5 1.6913 33.965 41.43
2004-10-07 15761 1.2284 8.2765 111.23 1150.5 1.6898 33.905 41.379
2004-10-11 15757 1.23885 8.2765 109.37 1146.1 1.6811 33.826 41.27
2004-10-12 15767 1.23285 8.2765 109.69 1146.5 1.6856 33.885 41.345
2004-10-13 15750 1.23475 8.2766 109.755 1148.5 1.68435 33.905 41.41
2004-10-14 15760 1.23865 8.2765 109.665 1144.5 1.68325 33.885 41.425
2004-10-18 15761 1.2494 8.2765 109.255 1141.5 1.67825 33.88 41.435
2004-10-19 15750 1.2513 8.2764 108.375 1140.5 1.67435 33.825 41.325
2004-10-20 15750 1.25905 8.2764 108.24 1141.5 1.6734 33.81 41.31
2004-10-21 15751 1.26175 8.2764 107.525 1140.5 1.674 33.79 41.325
2004-10-25 15755 1.2807 8.2768 106.75 1133.5 1.66425 33.705 41.03
2004-10-26 15755 1.2769 8.2765 106.73 1131.5 1.6635 33.695 41.025
2004-10-27 15755 1.27125 8.2765 106.44 1127 1.6635 33.615 41.075
2004-10-28 15750 1.2744 8.2764 106.29 1125 1.66325 33.475 41.055
2004-11-01 15755 1.27525 8.2765 106.455 1120.5 1.6678 33.48 41.065
2004-11-02 15748 1.2743 8.2764 106.04 1112.75 1.66675 33.465 41.085
2004-11-03 15745 1.282 8.2765 106.235 1116.5 1.6657 33.375 41.15
2004-11-04 15751 1.2872 8.2765 106.035 1111.5 1.65575 33.275 40.945
2004-11-08 15741 1.29205 8.2765 105.475 1105.5 1.6499 32.92 40.685
2004-11-09 15750 1.28995 8.2764 105.67 1102.5 1.6535 32.945 40.65
2004-11-10 15746 1.28895 8.2765 107.135 1112.5 1.6579 33.24 40.715
2004-11-11 15750 1.2907 8.2765 106.615 1111.5 1.6565 32.955 40.675
2004-11-15 15755 1.2949 8.2765 105.27 1096 1.65105 32.82 40.395
2004-11-16 15755 1.29565 8.2765 105.345 1091.5 1.65025 32.785 40.305
