"year" "US" "X1C_995" "CN" "JP" "KR" "SG" "TW" "TH"
1995 300.125 1132.866 691.562 2376.735 1488.879 2114.967 1340.73 541.055
1996 450.11 1532.472 669.172 2806.778 2339.746 3322.598 1803.132 601.897
1997 538.299 2416.186 878.468 3184.714 1981.504 3343.873 2299.125 810.462
1998 795.376 2681.052 955.13 2996.152 1650.004 2704.846 2047.835 968.898
1999 827.168 2936.302 1419.447 3404.531 1805.691 2754.858 2248.727 874.52
2000 1096.916 3372.464 2937.528 4876.148 2106.189 3580.167 2636.568 1183.175
2001 1476.135 3603.528 3023.6 4692.901 2292.882 3522.034 2814.7 1115.072
2002 2911.1 4014.5 3677.1 4941.7 2748.3 3494.6 3343 1182.5
2003 5081.9 5020.8 5021.7 5890.7 3117.5 3900.5 3664.7 1617.6
2004 6158.7 5778.1 7494.2 7094.7 3967.5 5103.7 4588.9 2376.7
2005 6786.9 6191.2 9127.8 8414.4 4257.7 6399.3 5239.2 3237.1
2006 8832.1 7866.1 10634.1 9942.2 4751.3 8085.6 5793.6 3964.6
2007 11805 11141.3 16356.1 12278.9 6583.8 9848.1 8086.1 4774.2
2008 14533.4 12749.3 20823.7 16708.1 9048.7 12091.8 9764 6194.1
2009 14365.2 11606.6 21350 13759.9 9040.9 6324.7 7373.2 5780.2
2010 18005.042817 13799.948517 27327.627254 16743.744385 12853.567875 6222.457775 8419.771123 6785.123163
2011 21456.98 19011.03 35718.75 21181.48 17891.38 8676.23 10400.08 8175.84
2012 24495.198035 23119.290981 41174.084872 24662.608496 21116.340246 9058.22671 10615.903963 8624.557134
2013 29101.177 26850.619 50213.705 25263.064 27329.084 8364.923 11637.309 9414.87
2014 34939.9722686734 29417.9423519023 58773.5664453781 27612.999746031 28880.3983902363 9759.8533579509 13390.5705235761 10594.4656573344
2015 42318.0042572182 30938.985043466 94642.7747830818 27543.3042806274 39461.3078865182 17208.1726693387 12311.0221582546 13317.0335037423
